frames_decoded,requested,returned,exact,offset_sum,offset_max,frozen_clips,clips,dataset,class_name,path
781,32,32,32,0,0,0,4,DFD,fake,DFD_manipulated_sequences/DFD_manipulated_sequences/12_26__outside_talking_still_laughing__OTKIGGFE.mp4
317,32,32,32,0,0,0,4,CelebDFv3,real,REAL/Real_YouTube/00264.mp4
459,32,32,32,0,0,0,4,CelebDFv3,real,REAL/Real_WEB/id38_0005.mp4
468,32,32,32,0,0,0,4,CelebDFv3,real,REAL/Real_YouTube/00236.mp4
468,32,32,32,0,0,0,4,CelebDFv3,real,REAL/Real_YouTube/00087.mp4
458,32,32,32,0,0,0,4,CelebDFv3,real,REAL/Real_WEB/id3_0000.mp4
364,32,32,32,0,0,0,4,CelebDFv3,real,REAL/Real_WEB/id12_0002.mp4
474,32,32,32,0,0,0,4,CelebDFv3,real,REAL/Real_WEB/id55_0003.mp4
459,32,32,32,0,0,0,4,CelebDFv3,real,REAL/Real_WEB/id0_0005.mp4
504,32,32,32,0,0,0,4,CelebDFv3,real,REAL/Real_YouTube/00105.mp4
452,32,32,32,0,0,0,4,CelebDFv3,real,REAL/Real_WEB/id33_0002.mp4
428,32,32,32,0,0,0,4,CelebDFv3,real,REAL/Real_WEB/id32_0004.mp4
497,32,32,32,0,0,0,4,CelebDFv3,real,REAL/Real_WEB/id30_0008.mp4
180,32,32,32,0,0,0,4,CelebDFv3,fake,FAKE/TalkingFace/Real3DPortrait/id47_0005_test_id01333_SwmQTyhzge8.mp4
199,32,32,32,0,0,0,4,CelebDFv3,fake,FAKE/TalkingFace/AniTalker/id56_0000_test_id01989_t3crub0ikyc.mp4
187,32,32,32,0,0,0,4,CelebDFv3,fake,FAKE/FaceReenact/FSRT/id30_id29_0001.mp4
321,32,32,32,0,0,0,4,CelebDFv3,fake,FAKE/FaceSwap/UniFace/id35_id4_0009.mp4
132,32,32,32,0,0,0,4,CelebDFv3,fake,FAKE/TalkingFace/AniTalker/id46_0002_test_id04862_AyXnilND0XM.mp4
337,32,32,32,0,0,0,4,CelebDFv3,fake,FAKE/FaceReenact/LIA/id37_id20_0008.mp4
311,32,32,32,0,0,0,4,CelebDFv3,fake,FAKE/FaceSwap/Celeb-DF-v2/id28_id6_0004.mp4
504,32,32,32,0,0,0,4,CelebDFv3,fake,FAKE/FaceSwap/Celeb-DF-v2/id33_id32_0008.mp4
243,32,32,32,0,0,0,4,CelebDFv3,fake,FAKE/TalkingFace/AniTalker/id39_0002_test_id04094_UF32ava_FRg.mp4
101,32,32,32,0,0,0,4,CelebDFv3,fake,FAKE/FaceReenact/HyperReenact/id33_id37_0007.mp4
448,32,32,32,0,0,0,4,CelebDFv3,fake,FAKE/FaceSwap/SimSwap/id30_id34_0005.mp4
447,32,32,32,0,0,0,4,CelebDFv3,fake,FAKE/FaceReenact/MCNET/id32_id30_0005.mp4
